START,Time,,Upstream Pressure,,Downstream Pressure
DATA,4.64,PT_EU,5.376,PT_ED,-5.621
DATA,4.69,PT_EU,-6.843,PT_ED,6.598
DATA,4.74,PT_EU,0.489,PT_ED,-1.955
DATA,4.79,PT_EU,4.154,PT_ED,6.598
DATA,4.84,PT_EU,5.376,PT_ED,0.489
DATA,4.89,PT_EU,4.154,PT_ED,4.154
DATA,4.94,PT_EU,5.376,PT_ED,5.376
DATA,4.99,PT_EU,2.933,PT_ED,5.376
DATA,5.04,PT_EU,4.154,PT_ED,5.376
DATA,5.09,PT_EU,2.933,PT_ED,4.154
DATA,5.14,PT_EU,1.711,PT_ED,1.711
DATA,5.19,PT_EU,2.933,PT_ED,0.489
DATA,5.24,PT_EU,2.933,PT_ED,5.376
DATA,5.29,PT_EU,-3.177,PT_ED,-22.727
DATA,5.34,PT_EU,-1.955,PT_ED,7.82
DATA,5.39,PT_EU,-1.955,PT_ED,5.376
DATA,5.44,PT_EU,5.376,PT_ED,-4.399
DATA,5.49,PT_EU,1.711,PT_ED,5.376
DATA,5.54,PT_EU,5.376,PT_ED,7.82
DATA,5.59,PT_EU,-8.065,PT_ED,5.376
DATA,5.64,PT_EU,5.376,PT_ED,6.598
DATA,5.69,PT_EU,1.711,PT_ED,5.376
DATA,5.74,PT_EU,1.711,PT_ED,6.598
DATA,5.79,PT_EU,0.489,PT_ED,1.711
DATA,5.84,PT_EU,-10.508,PT_ED,5.376
DATA,5.89,PT_EU,1.711,PT_ED,1.711
DATA,5.94,PT_EU,-37.39,PT_ED,-0.733
DATA,5.99,PT_EU,2.933,PT_ED,6.598
